word,weight
birokrat,-3.0
birthday,4.0
bisain,-2.0
bisik,-2.0
bisikan,1.0
bismillah,4.0
bisnis,3.0
bison,-3.0
bisu,-1.0
bisul,-4.0
biut,-5.0
blangko,-3.0
blaster,-3.0
blobor,-3.0
block,-4.0
blokir,-3.0
bloon,-3.0
blur,-4.0
bobol,-4.0
bobot,-1.5
bobrok,-5.0
bobroq,-4.0
bocor,-4.0
bodo,-5.0
bodoamat,-4.0
bogem,-5.0
bogum,-3.0
bohong,-5.0
bokek,-5.0
bokep,-5.0
boker,-3.0
boksen,-5.0
boleh,2.0
bolehan,4.0
bolong,-3.0
bolos,-3.0
bolsak,-4.0
bom,0.0
bombastis,-0.5
bonafide,3.0
bondong,-4.0
bondot,-5.0
bongak,-5.0
bonggol,-4.0
bongkah,-2.0
bongkak,-3.0
bongkar,-3.0
bongkar-bangkir,-5.0
bongkong,-3.0
bongok,-3.0
bongsor,-2.0
bonus,0.5
bonyok,5.0
booking,2.0
boong,-4.0
bopong,-1.0
borak,-4.0
boro,-2.0
borok,-5.0
borong,0.5
boros,-5.0
bos,3.0
bosen,-4.0
bosman,-4.0
bosun,-4.0
bot,-2.0
boyak,-5.0
brengsek,-5.0
brokat,-4.0
broker,-3.0
bromocorah,-5.0
brutal,-5.0
bruto,-3.0
buah,-0.5
buaian,3.0
bual,-4.0
bualan,-4.0
buang,-3.0
buangan,-4.0
buari,-4.0
buas,-5.0
buat,1.0
buatan,3.0
bubuh,4.0
bubuk,-5.0
bucu,-3.0
budak,4.0
budek,-3.0
budiman,4.0
bufer,-3.0
bugar,4.0
buhuk,-4.0
bujang,4.0
bujukan,-3.0
buka,0.0
bukan,-3.0
bukannya,-3.0
bukat,-4.0
bukti,-3.0
bulan,-1.0
bulan-bulanan,-4.0
bulang,3.0
bulat,-3.0
buletin,-3.0
bulevar,-4.0
bully,-5.0
bulsak,-4.0
buluh,-3.0
bulus,-5.0
bumbu,5.0
bumbung,3.0
buncah,-5.0
buncit,-3.0
bunda,-1.0
bundak,-3.0
bundel,-5.0
bunduk,-3.0
bunga,0.0
bungkam,-1.5
bungkusan,4.0
bungsu,-3.0
buntang,-4.0
buntet,-2.0
bunting,-3.0
buntu,-3.0
buntung,-5.0
buntut,1.0
bunuh,-5.0
bunyi,0.5
burai,-5.0
buram,-3.0
buras,-4.0
buru,-1.0
buru-buru,-1.0
buruan,1.0
buruk,-5.0
busana,2.0
busuk,-5.0
busut,-4.0
buta,-3.0
butek,-3.0
butuh,-5.0
butut,-5.0
buyung,4.0
buyut,-3.0
bye,-3.0
caba,-4.0
cabar,-4.0
cabau,-3.0
cabe,-2.0
cabean,-3.0
cabik,-3.0
cabuh,-3.0
cabul,-5.0
cabut,-5.0
cacat,-5.0
cacatan,-5.0
cacau,-5.0
cacauan,-4.0
caci,-5.0
cacian,-5.0
cacing,-4.0
cadang,-1.5
cadangan,2.0
cadas,-3.0
cagaran,-3.0
cahari,-3.0
caing,-3.0
cair,-1.0
cakap,-1.0
cakep,2.0
cakus,-4.0
calar,-3.0
calit,-5.0
campak,-4.0
campakkan,-4.0
camping,-3.0
campur,5.0
canda,-3.0
candal,-5.0
candala,-5.0
candang,2.0
candrasa,3.0
candu,0.0
canggung,-4.0
cangkul,-4.0
cangkum,-3.0
cantik,-1.0
cantrik,0.0
cantum,4.0
capai,-0.5
capaian,4.0
capak,-4.0
cape,-4.0
capek,0.0
capit,-3.0
caplak,-4.0
caplok,0.0
care,2.0
cari,-3.0
cariin,-2.0
carik,-5.0
caruk,-4.0
carut,-5.0
cash,2.0
catak,-4.0
catu,4.0
catut,-3.0
cawis,2.0
cebak,3.0
cebik,-3.0
cebur,-5.0
cecap,-5.0
cecer,-3.0
ceceran,-3.0
cecunguk,-5.0
cedayam,0.0
cedera,-4.0
cedih,-3.0
cedok,3.0
cegah,0.0
cegak,-1.5
cegar,4.0
